entity,field_name,desc,required,type,blank,default,secmod,backend_table,backend_db_field_name
Loc,FloorsOccupied,"Number of floors in the building that are occupied (separated by semi-colons). Each floor occupied is separated by a semi-colon. Ranges are not accepted. 0 = ground floor, -1 = first level of basement, -2 = second level of basement; 1 = first floor, 2 = second floor, etc.",O,varchar(255),YES,,1.0,LocationDetails,
Loc,FoundationConnection,Connection of frame to foundation with or without bolts,O,tinyint,YES,0,1.0,LocationDetails,
Loc,FoundationType,Code that represents the construction type of the building's foundation,O,tinyint,YES,0,1.0,LocationDetails,
Loc,GeocodeQuality,Geocode quality (values between 0 and 1 e.g. 80% is entered as 0.8),O,float,YES,,,Locations,
Loc,Geocoder,Company name / version of geocoder. Free text field.,O,varchar(20),YES,,,Locations,
Loc,GeogName1,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,,,Locations,
Loc,GeogName2,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,,,Locations,
Loc,GeogName3,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,,,Locations,
Loc,GeogName4,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,,,Locations,
Loc,GeogName5,"Geography name: Descriptor of the geographical area, using the scheme referenced in the corresponding GeogScheme field (e.g. SO31)",O,nvarchar(50),YES,,,Locations,
Loc,GeogScheme1,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,,,Locations,
Loc,GeogScheme2,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,,,Locations,
Loc,GeogScheme3,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,,,Locations,
Loc,GeogScheme4,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,,,Locations,
Loc,GeogScheme5,"Geography scheme: Descriptor of the geography scheme used in relation to the geography name in the corresponding GeogName field (e.g. PC4). User can specify values in addition to those listed in the GeogScheme values list, but user defined scheme values must start with 'X'.",O,varchar(5),YES,,,Locations,
Loc,GlassType,Code that represents the type of glass used in the building,O,tinyint,YES,0,1.0,LocationDetails,
