group,key,id,desc,column_name_regex,validation
currencies,central african republic (the)/cfa franc beac,XAF,central african republic (the) - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chad/cfa franc beac,XAF,chad - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chile/chilean peso,CLP,chile - chilean peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,chile/unidad de fomento,CLF,chile - unidad de fomento,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,china/yuan renminbi,CNY,china - yuan renminbi,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,christmas island/australian dollar,AUD,christmas island - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cocos (keeling) islands (the)/australian dollar,AUD,cocos (keeling) islands (the) - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,colombia/colombian peso,COP,colombia - colombian peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,colombia/unidad de valor real,COU,colombia - unidad de valor real,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,comoros (the)/comorian franc,KMF,comoros (the) - comorian franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,congo (the democratic republic of the)/congolese franc,CDF,congo (the democratic republic of the) - congolese franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,congo (the)/cfa franc beac,XAF,congo (the) - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cook islands (the)/new zealand dollar,NZD,cook islands (the) - new zealand dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,costa rica/costa rican colon,CRC,costa rica - costa rican colon,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cã”te d'ivoire/cfa franc bceao,XOF,cã”te d'ivoire - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,croatia/kuna,HRK,croatia - kuna,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cuba/cuban peso,CUP,cuba - cuban peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cuba/peso convertible,CUC,cuba - peso convertible,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,curaã‡ao/netherlands antillean guilder,ANG,curaã‡ao - netherlands antillean guilder,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,cyprus/euro,EUR,cyprus - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,czechia/czech koruna,CZK,czechia - czech koruna,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,denmark/danish krone,DKK,denmark - danish krone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,djibouti/djibouti franc,DJF,djibouti - djibouti franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,dominica/east caribbean dollar,XCD,dominica - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,dominican republic (the)/dominican peso,DOP,dominican republic (the) - dominican peso,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,ecuador/us dollar,USD,ecuador - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,egypt/egyptian pound,EGP,egypt - egyptian pound,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,el salvador/el salvador colon,SVC,el salvador - el salvador colon,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,el salvador/us dollar,USD,el salvador - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,equatorial guinea/cfa franc beac,XAF,equatorial guinea - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,eritrea/nakfa,ERN,eritrea - nakfa,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,estonia/euro,EUR,estonia - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,ethiopia/ethiopian birr,ETB,ethiopia - ethiopian birr,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,european union/euro,EUR,european union - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,falkland islands (the) [malvinas]/falkland islands pound,FKP,falkland islands (the) [malvinas] - falkland islands pound,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,faroe islands (the)/danish krone,DKK,faroe islands (the) - danish krone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,fiji/fiji dollar,FJD,fiji - fiji dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,finland/euro,EUR,finland - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,france/euro,EUR,france - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,french guiana/euro,EUR,french guiana - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,french polynesia/cfp franc,XPF,french polynesia - cfp franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,french southern territories (the)/euro,EUR,french southern territories (the) - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,gabon/cfa franc beac,XAF,gabon - cfa franc beac,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,gambia (the)/dalasi,GMD,gambia (the) - dalasi,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,georgia/lari,GEL,georgia - lari,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,germany/euro,EUR,germany - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,ghana/ghana cedi,GHS,ghana - ghana cedi,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,gibraltar/gibraltar pound,GIP,gibraltar - gibraltar pound,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,greece/euro,EUR,greece - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,greenland/danish krone,DKK,greenland - danish krone,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,grenada/east caribbean dollar,XCD,grenada - east caribbean dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guadeloupe/euro,EUR,guadeloupe - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guam/us dollar,USD,guam - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guatemala/quetzal,GTQ,guatemala - quetzal,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guernsey/pound sterling,GBP,guernsey - pound sterling,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guinea/guinean franc,GNF,guinea - guinean franc,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guinea-bissau/cfa franc bceao,XOF,guinea-bissau - cfa franc bceao,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,guyana/guyana dollar,GYD,guyana - guyana dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,haiti/gourde,HTG,haiti - gourde,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,haiti/us dollar,USD,haiti - us dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,heard island and mcdonald islands/australian dollar,AUD,heard island and mcdonald islands - australian dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,holy see (the)/euro,EUR,holy see (the) - euro,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,honduras/lempira,HNL,honduras - lempira,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,hong kong/hong kong dollar,HKD,hong kong - hong kong dollar,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
currencies,hungary/forint,HUF,hungary - forint,(acc|loc|reins)currency$,func:oedtools.is_iso4217_currency
